search URL:,https://patents.google.com/?q=blockchain&q=block-chain&country=US&status=GRANT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9667600-B2,Decentralized and distributed secure home subscriber server device ,"At&T Intellectual Property I, L.P.","Roger Piqueras Jover, Joshua Lackey",2015-04-06,2015-04-06,2017-05-30,2017-05-30,https://patents.google.com/patent/US9667600B2/en,https://patentimages.storage.googleapis.com/c3/0b/4e/7460247efcdfd8/US09667600-20170530-D00000.png
US-9703986-B1,Decentralized reputation service for synthetic identities ,"Anonyome Labs, Inc.","Paul Ashley, Steve Shillingford, Greg Clark, Dennis Wilkins, Mike Neuenschwander, Stephen Sartor",2015-05-13,2015-08-13,2017-07-11,2017-07-11,https://patents.google.com/patent/US9703986B1/en,https://patentimages.storage.googleapis.com/e3/99/b7/c88b5b05c9548c/US09703986-20170711-D00000.png
US-9792101-B2,Capacity and automated de-install of linket mobile apps with deep links ,Wesley John Boudville,Wesley John Boudville,2015-11-10,2015-11-10,2017-10-17,2017-10-17,https://patents.google.com/patent/US9792101B2/en,https://patentimages.storage.googleapis.com/f7/38/47/9d4b4bab450809/US09792101-20171017-D00000.png
US-9509690-B2,Methods and systems for managing network activity using biometrics ,Eyelock Llc,"Samuel J. Carter, Christopher L. Ream, Sarvesh Makthal, Stephen Charles Gerber",2015-03-12,2016-03-11,2016-11-29,2016-11-29,https://patents.google.com/patent/US9509690B2/en,https://patentimages.storage.googleapis.com/5c/06/da/48769ab4455da6/US09509690-20161129-D00000.png
US-9760827-B1,Neural network applications in resource constrained environments ,"Alpine Electronics of Silicon Valley, Inc.","Rocky Chau-Hsiung Lin, Thomas Yamasaki, Koichiro Kanda, Diego Rodriguez Risco, Alexander Joseph Ryan",2016-07-22,2017-01-03,2017-09-12,2017-09-12,https://patents.google.com/patent/US9760827B1/en,https://patentimages.storage.googleapis.com/e3/68/48/d87d9232fde640/US09760827-20170912-D00000.png
US-9881176-B2,Fragmenting data for the purposes of persistent storage across multiple immutable data structures ,"ALTR Solutions, Inc.","Scott Nathaniel Goldfarb, James Douglas Beecham, Christopher Edward Struttmann",2015-06-02,2017-08-11,2018-01-30,2018-01-30,https://patents.google.com/patent/US9881176B2/en,https://patentimages.storage.googleapis.com/1f/72/5a/5d834961046ce4/US09881176-20180130-D00000.png
US-9858781-B1,Architecture for access management ,"Tyco Integrated Security, LLC","Richard Campero, Sean DAVIS, Graeme Jarvis, Terezinha Rumble",2016-09-09,2017-05-16,2018-01-02,2018-01-02,https://patents.google.com/patent/US9858781B1/en,https://patentimages.storage.googleapis.com/04/9f/a6/bda52789049e5a/US09858781-20180102-D00000.png
US-9667427-B2,Systems and methods for managing digital identities ,"Cambridge Blockchain, LLC","Alex Oberhauser, Matthew Commons, Alok Bhargava",2015-10-14,2016-10-14,2017-05-30,2017-05-30,https://patents.google.com/patent/US9667427B2/en,https://patentimages.storage.googleapis.com/73/34/36/f6cb6f27b2adba/US09667427-20170530-D00000.png
US-9870562-B2,Method and system for integration of market exchange and issuer processing for blockchain-based transactions ,Mastercard International Incorporated,"Steven Charles DAVIS, Ashish Raghavendra Tetali",2015-05-21,2015-05-21,2018-01-16,2018-01-16,https://patents.google.com/patent/US9870562B2/en,https://patentimages.storage.googleapis.com/2c/16/9f/76f56ea6c76ebc/US09870562-20180116-D00000.png
US-9876775-B2,Generalized entity network translation (GENT) ,"Ent Technologies, Inc.",Timothy Mossbarger,2012-11-09,2015-03-27,2018-01-23,2018-01-23,https://patents.google.com/patent/US9876775B2/en,https://patentimages.storage.googleapis.com/7b/7e/1e/c83d5b102fc12a/US09876775-20180123-D00000.png
US-9818092-B2,System and method for executing financial transactions ,Antti Pennanen,Antti Pennanen,2014-06-04,2014-06-04,2017-11-14,2017-11-14,https://patents.google.com/patent/US9818092B2/en,https://patentimages.storage.googleapis.com/0d/dd/c4/65562c038cbfb6/US09818092-20171114-D00000.png
US-9862222-B1,Digitally encoded seal for document verification ,"Uipco, Llc","Alexander B. Nagelberg, Michael Justin Cairns",2016-04-04,2017-09-14,2018-01-09,2018-01-09,https://patents.google.com/patent/US9862222B1/en,https://patentimages.storage.googleapis.com/6b/6b/50/d096013b2e876a/US09862222-20180109-D00000.png
US-9824031-B1,Efficient clearinghouse transactions with trusted and un-trusted entities ,International Business Machines Corporation,"Raghu K. Ganti, Mudhakar Srivatsa, Dinesh C. Verma",2016-10-28,2016-10-28,2017-11-21,2017-11-21,https://patents.google.com/patent/US9824031B1/en,https://patentimages.storage.googleapis.com/d1/b3/ba/559b9f336b9655/US09824031-20171121-D00000.png
US-9338148-B2,Secure distributed information and password management ,"Verizon Patent And Licensing Inc., Cellco Partnership","Donna L. Polehn, Lalit R. KOTECHA, Patricia R. Chang, Deepak Kakadia, John F. MACIAS, Priscilla Lau, Arda Aksu",2013-11-05,2013-11-05,2016-05-10,2016-05-10,https://patents.google.com/patent/US9338148B2/en,https://patentimages.storage.googleapis.com/b0/5e/26/105473d2622b1c/US09338148-20160510-D00000.png
US-9852427-B2,Systems and methods for sanction screening ,"Idm Global, Inc.",Jose Caldera,2015-11-11,2015-11-11,2017-12-26,2017-12-26,https://patents.google.com/patent/US9852427B2/en,https://patentimages.storage.googleapis.com/af/5c/b3/3f50132e521fb5/US09852427-20171226-D00000.png
US-9928290-B2,Trust framework for platform data ,Accenture Global Solutions Limited,Steven C. Tiell,2015-08-17,2016-04-11,2018-03-27,2018-03-27,https://patents.google.com/patent/US9928290B2/en,https://patentimages.storage.googleapis.com/99/b7/16/eef6046503a074/US09928290-20180327-D00000.png
US-9747586-B1,System and method for issuance of electronic currency substantiated by a reserve of assets ,Cpn Gold B.V.,"Vladimir Nikolayevich Frolov, Damir Nasibullovich Gaynanov, Aleksey Petrovich Romanchuk, Anatoliy Anatolievich Vatolin",2016-06-28,2016-09-12,2017-08-29,2017-08-29,https://patents.google.com/patent/US9747586B1/en,https://patentimages.storage.googleapis.com/70/9c/7d/7bc26301a49cf4/US09747586-20170829-D00000.png
US-9818116-B2,Systems and methods for detecting relations between unknown merchants and merchants with a known connection to fraud ,"Idm Global, Inc.",Jose Caldera,2015-11-11,2015-11-23,2017-11-14,2017-11-14,https://patents.google.com/patent/US9818116B2/en,https://patentimages.storage.googleapis.com/d8/e9/ee/9fd0041cc8006f/US09818116-20171114-D00000.png
US-9870508-B1,Securely authenticating a recording file from initial collection through post-production and distribution ,"Unveiled Labs, Inc.","Roderick Neil Hodgson, Shamir Allibhai",2017-06-01,2017-06-01,2018-01-16,2018-01-16,https://patents.google.com/patent/US9870508B1/en,https://patentimages.storage.googleapis.com/30/12/aa/69a46ccdab8ba7/US09870508-20180116-D00000.png
US-9351124-B1,Location detection and communication through latent dynamic network interactions ,Cognizant Business Services Limited,Edward Martin Shelton,2015-06-29,2015-06-29,2016-05-24,2016-05-24,https://patents.google.com/patent/US9351124B1/en,https://patentimages.storage.googleapis.com/8d/ca/af/91edec93a79e1c/US09351124-20160524-D00000.png
US-9935772-B1,Methods and systems for operating secure digital management aware applications ,"Vijay K Madisetti, Arshdeep Bahga, Michael Richter","Vijay K Madisetti, Arshdeep Bahga, Michael Richter",2016-02-19,2017-08-15,2018-04-03,2018-04-03,https://patents.google.com/patent/US9935772B1/en,https://patentimages.storage.googleapis.com/8a/92/08/008bd5cad493af/US09935772-20180403-D00000.png
US-6938039-B1,Concurrent file across at a target file server during migration of file systems between file servers using a network file system access protocol ,Emc Corporation,"Paul M. Bober, Uresh Vahalia, Aju John, Jeffrey L. Alexander, Uday K. Gupta",2000-06-30,2000-06-30,2005-08-30,2005-08-30,https://patents.google.com/patent/US6938039B1/en,https://patentimages.storage.googleapis.com/US6938039B1/US06938039-20050830-D00000.png
US-9641338-B2,"Method and apparatus for providing a universal deterministically reproducible cryptographic key-pair representation for all SKUs, shipping cartons, and items ","Skuchain, Inc.","Srinivasan Sriram, Zaki N. MANIAN",2015-03-12,2015-03-12,2017-05-02,2017-05-02,https://patents.google.com/patent/US9641338B2/en,https://patentimages.storage.googleapis.com/c3/12/e2/f77192dd25abcd/US09641338-20170502-D00000.png
US-9847997-B2,Server based biometric authentication ,Visa International Service Association,Kim Wagner,2015-11-11,2015-11-11,2017-12-19,2017-12-19,https://patents.google.com/patent/US9847997B2/en,https://patentimages.storage.googleapis.com/db/8b/5c/a54363e3fbcb40/US09847997-20171219-D00000.png
US-676727-A,Match-making machine. ,Fed Match Company,Morris San,1899-10-24,1899-10-24,1901-06-18,1901-06-18,https://patents.google.com/patent/US676727A/en,https://patentimages.storage.googleapis.com/pages/US676727-0.png
US-9760574-B1,Managing I/O requests in file systems ,EMC IP Holding Company LLC,"Jia Zhai, Yingchao Zhou, Ivan Bassov",2014-06-30,2014-06-30,2017-09-12,2017-09-12,https://patents.google.com/patent/US9760574B1/en,https://patentimages.storage.googleapis.com/a9/2e/4b/2e45b62dc5b8d0/US09760574-20170912-D00000.png
US-9825931-B2,System for tracking and validation of an entity in a process data network ,Bank Of America Corporation,"Darrell Johnsrud, Manu Jacob Kurian, Michael Wuehler",2016-01-26,2016-02-22,2017-11-21,2017-11-21,https://patents.google.com/patent/US9825931B2/en,https://patentimages.storage.googleapis.com/f5/33/d9/87118c4008265c/US09825931-20171121-D00000.png
US-9875510-B1,Consensus system for tracking peer-to-peer digital records ,Lance Kasper,Lance Kasper,2015-02-03,2015-05-07,2018-01-23,2018-01-23,https://patents.google.com/patent/US9875510B1/en,https://patentimages.storage.googleapis.com/47/3e/1a/969ae1c8fb5324/US09875510-20180123-D00000.png
US-9436935-B2,Computer system for making a payment using a tip button ,"Coinbase, Inc.",James Bradley Hudon,2014-03-17,2015-03-17,2016-09-06,2016-09-06,https://patents.google.com/patent/US9436935B2/en,https://patentimages.storage.googleapis.com/99/4d/1b/376c170c6a4560/US09436935-20160906-D00000.png
US-318621-A,William heckeet ,,,,,1885-05-19,1885-05-19,https://patents.google.com/patent/US318621A/en,https://patentimages.storage.googleapis.com/pages/US318621-0.png
US-9413735-B1,Managing distribution and retrieval of security key fragments among proxy storage devices ,"Ca, Inc.",Geoffrey R. Hird,2015-01-20,2015-01-20,2016-08-09,2016-08-09,https://patents.google.com/patent/US9413735B1/en,https://patentimages.storage.googleapis.com/58/f1/b0/aab3cb86e3364d/US09413735-20160809-D00000.png
US-9665734-B2,Uniform-frequency records with obscured context ,"Q Bio, Inc.","Jeffrey Howard Kaditz, Andrew Gettings STEVENS, David Grijalva",2015-09-12,2016-09-11,2017-05-30,2017-05-30,https://patents.google.com/patent/US9665734B2/en,https://patentimages.storage.googleapis.com/f9/e8/e2/5ce2a2dd6f7bda/US09665734-20170530-D00000.png
US-9135787-B1,Bitcoin kiosk/ATM device and system integrating enrollment protocol and method of using the same ,"Mark Russell, John W. Russell","Mark Russell, John W. Russell",2014-04-04,2014-04-04,2015-09-15,2015-09-15,https://patents.google.com/patent/US9135787B1/en,https://patentimages.storage.googleapis.com/d9/af/96/21e1a59132dbb6/US09135787-20150915-D00000.png
US-702775-A,Protection of driving-chains. ,Ernest Catchpool,Ernest Catchpool,1902-02-27,1902-02-27,1902-06-17,1902-06-17,https://patents.google.com/patent/US702775A/en,https://patentimages.storage.googleapis.com/pages/US702775-0.png
US-371437-A,Elevator ,,,,,1887-10-11,1887-10-11,https://patents.google.com/patent/US371437A/en,https://patentimages.storage.googleapis.com/pages/US371437-0.png
