search URL:,https://patents.google.com/?q=blockchain&q=block-chain&country=US&status=GRANT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9792742-B2,Decentralized virtual trustless ledger for access control ,"Live Nation Entertainment, Inc.","David Johnson, Joseph Mulkey",2016-02-02,2017-02-02,2017-10-17,2017-10-17,https://patents.google.com/patent/US9792742B2/en,https://patentimages.storage.googleapis.com/a0/70/85/f1a168ef635690/US09792742-20171017-D00000.png
US-9912659-B1,Locking systems with multifactor authentication and changing passcodes ,Matt Widdows,Matt Widdows,2017-04-14,2017-04-14,2018-03-06,2018-03-06,https://patents.google.com/patent/US9912659B1/en,https://patentimages.storage.googleapis.com/db/f5/89/12b098329f066e/US09912659-20180306-D00000.png
US-9702582-B2,Connected thermostat for controlling a climate system based on a desired usage profile in comparison to other connected thermostats controlling other climate systems ,"Ikorongo Technology, LLC",Hugh Blake Svendsen,2015-10-12,2016-07-18,2017-07-11,2017-07-11,https://patents.google.com/patent/US9702582B2/en,https://patentimages.storage.googleapis.com/d2/18/c0/8b08a41a99cef2/US09702582-20170711-D00000.png
US-9830593-B2,Cryptographic currency user directory data and enhanced peer-verification ledger synthesis through multi-modal cryptographic key-address mapping ,"Ss8 Networks, Inc.",Michael Myers,2014-04-26,2014-04-26,2017-11-28,2017-11-28,https://patents.google.com/patent/US9830593B2/en,https://patentimages.storage.googleapis.com/20/ca/bb/1a6fc13b81e5a2/US09830593-20171128-D00000.png
US-9735958-B2,Key ceremony of a security system forming part of a host computer for cryptographic transactions ,"Coinbase, Inc.","Andrew E. Alness, James Bradley Hudon",2015-05-19,2015-05-19,2017-08-15,2017-08-15,https://patents.google.com/patent/US9735958B2/en,https://patentimages.storage.googleapis.com/84/c4/fd/f86235eef8f646/US09735958-20170815-D00000.png
US-9660627-B1,System and techniques for repeating differential signals ,"Bitfury Group Limited, Valerijs Vavilovs",Valerii Nebesnyi,2016-01-05,2016-01-05,2017-05-23,2017-05-23,https://patents.google.com/patent/US9660627B1/en,https://patentimages.storage.googleapis.com/05/28/6a/f2aa9012b3846e/US09660627-20170523-D00000.png
US-9922381-B2,System and method for providing a payment handler API and a browser payment request API for processing a payment ,Monticello Enterprises LLC,"Thomas M. Isaacson, Ryan Connell Durham",2014-03-31,2017-05-23,2018-03-20,2018-03-20,https://patents.google.com/patent/US9922381B2/en,https://patentimages.storage.googleapis.com/da/1b/87/d1c1b4b0ba9212/US09922381-20180320-D00000.png
US-9762562-B2,Techniques for multi-standard peer-to-peer connection ,"Facebook, Inc.","Yael Maguire, Damian Kowalewski, Bin Liu, Wai Davidgeolim Lim, Caitlin Elizabeth Kalinowski",2013-09-13,2014-06-20,2017-09-12,2017-09-12,https://patents.google.com/patent/US9762562B2/en,https://patentimages.storage.googleapis.com/1a/2f/1b/3a5e6e07cbbad0/US09762562-20170912-D00000.png
US-9933790-B2,Peer-to-peer air analysis and treatment ,"Lunatech, Llc",Jonathan Seamus Blackley,2015-06-15,2016-06-13,2018-04-03,2018-04-03,https://patents.google.com/patent/US9933790B2/en,https://patentimages.storage.googleapis.com/ba/6a/70/9409f15ba5b6d6/US09933790-20180403-D00000.png
US-9805360-B1,Location based device flagging and interface ,"Philz Coffee, Inc.",Jacob Jaber,2017-03-17,2017-05-24,2017-10-31,2017-10-31,https://patents.google.com/patent/US9805360B1/en,https://patentimages.storage.googleapis.com/f1/67/73/c84248294c3818/US09805360-20171031-D00000.png
US-9436455-B2,Logging operating system updates of a secure element of an electronic device ,Apple Inc.,"Mehdi ZIAT, Kyle A. Diebolt",2014-01-06,2015-01-06,2016-09-06,2016-09-06,https://patents.google.com/patent/US9436455B2/en,https://patentimages.storage.googleapis.com/48/ac/b0/0e8809fbae805c/US09436455-20160906-D00000.png
US-9852305-B2,Method for provably secure erasure of data ,Nec Corporation,Sebastian GAJEK,2014-10-21,2015-10-21,2017-12-26,2017-12-26,https://patents.google.com/patent/US9852305B2/en,https://patentimages.storage.googleapis.com/cb/41/52/383192c593fdba/US09852305-20171226-D00000.png
US-9633513-B2,Method and system for gaming revenue ,Jackpot Rising Inc.,William Garrett Webb,2014-12-17,2016-07-26,2017-04-25,2017-04-25,https://patents.google.com/patent/US9633513B2/en,https://patentimages.storage.googleapis.com/18/1d/de/dec4ff9c31d9f1/US09633513-20170425-D00000.png
US-9373223-B1,Method and system for gaming revenue ,Jackpot Rising Inc.,William Webb,2014-12-17,2014-12-17,2016-06-21,2016-06-21,https://patents.google.com/patent/US9373223B1/en,https://patentimages.storage.googleapis.com/df/ee/cc/a37b5c1ce5cc24/US09373223-20160621-D00000.png
US-9646029-B1,Methods and apparatus for a distributed database within a network ,"Swirlds, Inc.","Leemon C. Baird, III",2016-06-02,2016-12-21,2017-05-09,2017-05-09,https://patents.google.com/patent/US9646029B1/en,https://patentimages.storage.googleapis.com/46/28/7f/11896c39e41e15/US09646029-20170509-D00000.png
US-9876646-B2,User identification management system and method ,"ShoCard, Inc.","Armin Ebrahimi, Jeff Weitzman",2015-05-05,2016-05-05,2018-01-23,2018-01-23,https://patents.google.com/patent/US9876646B2/en,https://patentimages.storage.googleapis.com/76/46/dd/b2508967e8735c/US09876646-20180123-D00000.png
US-9836790-B2,Cryptocurrency transformation system ,Bank Of America Corporation,"James G. Ronca, Joseph B. Castinado, Heather Dolan, Thomas E. Durbin, Richard H. Thomas",2014-06-16,2014-06-16,2017-12-05,2017-12-05,https://patents.google.com/patent/US9836790B2/en,https://patentimages.storage.googleapis.com/7b/43/4a/cfb9e40b43512e/US09836790-20171205-D00000.png
US-9258307-B2,Decentralized electronic transfer system ,Alcatel Lucent,"Fabio Pianese, Noah Evans",2012-03-02,2013-02-25,2016-02-09,2016-02-09,https://patents.google.com/patent/US9258307B2/en,https://patentimages.storage.googleapis.com/ac/2f/10/cf0b25be388415/US09258307-20160209-D00000.png
US-9552615-B2,Automated database analysis to detect malfeasance ,Palantir Technologies Inc.,"Shivam Mathura, Lucas Lemanowicz, Tim Vergenz",2013-12-20,2015-03-05,2017-01-24,2017-01-24,https://patents.google.com/patent/US9552615B2/en,https://patentimages.storage.googleapis.com/d7/e5/97/49d4a17a8d1d3c/US09552615-20170124-D00000.png
US-9645604-B1,Circuits and techniques for mesochronous processing ,"Bitfury Group Limited, Valerijs Vavilovs",Valerii Nebesnyi,2016-01-05,2016-01-05,2017-05-09,2017-05-09,https://patents.google.com/patent/US9645604B1/en,https://patentimages.storage.googleapis.com/86/fe/1a/547593f5e22eba/US09645604-20170509-D00000.png
US-9935948-B2,"Biometric data hashing, verification and security ","Case Wallet, Inc.","Stephen L. Schultz, David R. Nilosek, John Dvorak",2015-09-18,2016-09-19,2018-04-03,2018-04-03,https://patents.google.com/patent/US9935948B2/en,https://patentimages.storage.googleapis.com/e1/77/e2/4a91480e03a419/US09935948-20180403-D00000.png
US-9872050-B2,"Method for generating, providing and reproducing digital contents in conjunction with digital currency, and terminal and computer readable recording medium using same ","Joon Sun Uhr, Jay Wu Hong","Joon Sun Uhr, Jay Wu Hong, Richard Ho Yun",2014-06-17,2015-06-12,2018-01-16,2018-01-16,https://patents.google.com/patent/US9872050B2/en,https://patentimages.storage.googleapis.com/61/5a/94/1a7492242ed01a/US09872050-20180116-D00000.png
US-9595034-B2,System and method for monitoring third party access to a restricted item ,Stellenbosch University,"Gert-Jan VAN ROOYEN, Frederick Johannes LUTZ, Herman Arnold ENGELBRECHT",2013-10-25,2014-05-22,2017-03-14,2017-03-14,https://patents.google.com/patent/US9595034B2/en,https://patentimages.storage.googleapis.com/bd/c3/f4/e571a7dcc057c8/US09595034-20170314-D00000.png
US-140937-A,Improvement in stone and glass polishing machines ,,,,,1873-07-15,1873-07-15,https://patents.google.com/patent/US140937A/en,https://patentimages.storage.googleapis.com/pages/US140937-0.png
US-9704143-B2,Cryptographic currency for securities settlement ,Goldman Sachs & Co. LLC,"Paul Walker, Phil J. Venables",2014-05-16,2014-10-30,2017-07-11,2017-07-11,https://patents.google.com/patent/US9704143B2/en,https://patentimages.storage.googleapis.com/a3/56/de/4a36cbd7693479/US09704143-20170711-D00000.png
US-9364950-B2,Trainable modular robotic methods ,Brain Corporation,"Eugene Izhikevich, Dimitry Fisher, Jean-Baptiste Passot, Heathcliff Hatcher, Vadim Polonichko",2014-03-13,2014-03-13,2016-06-14,2016-06-14,https://patents.google.com/patent/US9364950B2/en,https://patentimages.storage.googleapis.com/90/7e/69/f8e217eda2d8fc/US09364950-20160614-D00000.png
US-9533413-B2,Trainable modular robotic apparatus and methods ,Brain Corporation,"Eugene Izhikevich, Dimitry Fisher, Jean-Baptiste Passot, Heathcliff Hatcher, Vadim Polonichko",2014-03-13,2014-03-13,2017-01-03,2017-01-03,https://patents.google.com/patent/US9533413B2/en,https://patentimages.storage.googleapis.com/c8/d1/1c/df948d12455d9d/US09533413-20170103-D00000.png
US-9824408-B2,Browser payment request API ,Monticello Enterprises LLC,"Thomas M. Isaacson, Ryan C. Durham",2014-03-31,2016-09-12,2017-11-21,2017-11-21,https://patents.google.com/patent/US9824408B2/en,https://patentimages.storage.googleapis.com/ea/10/5d/6b4afe75eae27b/US09824408-20171121-D00000.png
US-9425954-B1,Device and method for resonant cryptography ,Global Risk Advisors,Kevin Chalker,2015-09-15,2016-01-04,2016-08-23,2016-08-23,https://patents.google.com/patent/US9425954B1/en,https://patentimages.storage.googleapis.com/05/63/d3/68da0f4906f70d/US09425954-20160823-D00000.png
US-9398018-B2,Virtual currency system ,nTrust Technology Solutions Corp.,"Robert Scott MacGregor, Milagrino Jose C. Ong",2014-03-18,2014-03-18,2016-07-19,2016-07-19,https://patents.google.com/patent/US9398018B2/en,https://patentimages.storage.googleapis.com/11/ee/5c/54f60bb5e56f26/US09398018-20160719-D00000.png
US-9830580-B2,Virtual currency system ,nChain Holdings Limited,"Robert Scott MacGregor, Milagrino Jose C. Ong",2014-03-18,2014-03-18,2017-11-28,2017-11-28,https://patents.google.com/patent/US9830580B2/en,https://patentimages.storage.googleapis.com/75/3c/e0/c6fdddd29a9abd/US09830580-20171128-D00000.png
US-9553982-B2,System and methods for tamper proof interaction recording and timestamping ,"Newvoicemedia, Ltd.",Ashley Unitt,2013-07-06,2015-12-16,2017-01-24,2017-01-24,https://patents.google.com/patent/US9553982B2/en,https://patentimages.storage.googleapis.com/88/34/47/76fd9526faf7a2/US09553982-20170124-D00000.png
